eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.05,3,7,1,0.9,127,5.2808298,0.6688240261083258
0.1,3,7,1,0.9,54,5.2443336,0.6749045326032967
0.3,3,7,1,0.9,15,5.4256742000000004,0.6586862234865725
0.01,5,7,1,0.9,432,5.3601024,0.6601150494634269
0.05,5,7,1,0.9,93,5.3089182,0.6669750824685288
0.1,5,7,1,0.9,45,5.3626492,0.6612820438348849
0.3,5,7,1,0.9,18,5.5322534,0.6466473502157144
0.01,10,7,1,0.9,467,5.358266,0.6589694806566067
0.05,10,7,1,0.9,97,5.3628108,0.6601847237227757
0.1,10,7,1,0.9,41,5.2990968,0.6743077472416351
0.3,10,7,1,0.9,15,5.4608266,0.6551090067594618
0.01,1,1,0.65,1,482,5.169167,0.6794527211929404
0.05,1,1,0.65,1,124,5.1044502,0.68662586213947
0.1,1,1,0.65,1,99,5.1757638,0.6842539488839501
0.3,1,1,0.65,1,34,4.9319322,0.7078151449229275
0.01,3,1,0.65,1,477,5.1905774000000005,0.6845484560110521
0.05,3,1,0.65,1,91,5.1360908,0.6943469928303928
0.1,3,1,0.65,1,63,5.379721,0.6682941220807087
0.3,3,1,0.65,1,13,5.3121734,0.6807011240179319
0.01,5,1,0.65,1,477,5.2736642,0.6769250143857651
0.05,5,1,0.65,1,101,5.3103124,0.6742771418905136
0.1,5,1,0.65,1,64,5.4013344,0.6666028648968028
0.3,5,1,0.65,1,13,5.5656084,0.65555195122435606
0.01,10,1,0.65,1,500,5.3114688,0.6734670645894865
0.05,10,1,0.65,1,107,5.2876834,0.6772497827873133
0.1,10,1,0.65,1,52,5.4272469999999995,0.6639441431155345
0.3,10,1,0.65,1,17,5.523931,0.6587526006986846
0.01,1,3,0.65,1,482,5.1620538,0.6803359205452405
0.05,1,3,0.65,1,124,5.1039356,0.6865699137658533
0.1,1,3,0.65,1,88,5.1798668,0.6818731566411169
0.3,1,3,0.65,1,34,5.0895418,0.6897267605422023
0.01,3,3,0.65,1,404,5.2134412,0.6838934239646072
0.05,3,3,0.65,1,94,5.1601248,0.6884254705284439
0.1,3,3,0.65,1,46,5.0608836,0.6973771579107491
0.3,3,3,0.65,1,17,5.2454162,0.6827447887706897
0.01,5,3,0.65,1,478,5.1557598,0.688560977939436
0.05,5,3,0.65,1,118,5.1659248,0.6887080582455016
0.1,5,3,0.65,1,45,5.1412248,0.6906405248978061
0.3,5,3,0.65,1,34,5.396141,0.6806787863379418
0.01,10,3,0.65,1,476,5.1755936,0.6864588324817584
0.05,10,3,0.65,1,146,5.1393824,0.6921413601664504
0.1,10,3,0.65,1,82,5.0880928,0.6970194026232612
0.3,10,3,0.65,1,34,5.4514596,0.6728197194373458
0.01,1,5,0.65,1,561,5.1019532000000005,0.6857918415598806
0.05,1,5,0.65,1,120,5.110169,0.6866848293057441
0.1,1,5,0.65,1,49,5.2845746,0.6633267777349402
0.3,1,5,0.65,1,34,5.0823212,0.6903446325726509
0.01,3,5,0.65,1,405,5.1129492,0.691694840634242
0.05,3,5,0.65,1,99,4.8965866,0.7152768073011281
0.1,3,5,0.65,1,44,5.0108308,0.6996332436152611
0.3,3,5,0.65,1,19,4.7601553999999995,0.7289476865955846
0.01,5,5,0.65,1,444,5.1002904,0.6918986058987591
